state_number	state_name	color_code	H3K36me3	H3K4me1	H3K27ac	H3K4me3	H3K27me3
1	Active_TSS	255,0,0	0.012225791135103373	0.04797392738988269	0.936643379241635	0.9732779161512101	0.007340087556372536
2	Weak_TSS	255,69,0	0.017011671193930576	0.22293325573188374	0.04042790020704482	0.744426985827092	0.012806463153227431
3	Flanking_TSS	255,69,0	0.05760935712170687	0.9291112329010207	0.8096874215822137	0.9626180474030126	0.007942078358818015
5	Strong_transcription	0,128,0	0.4301579065686985	0.003923563772527355	0.004471360340216457	0.0011552571395634765	8.665948211492879E-4
6	Weak_transcription	0,100,0	0.014957715999995989	0.005295860075575372	0.0015554302445068115	3.9675185628705806E-4	7.390381126428213E-4
8	Genic_enhancer	194,225,5	0.5954339764227109	0.538392683229399	0.29887740141725055	0.07466643959072838	0.0010931329103052287
9	Active_enhancer_1	255,195,77	0.018512036756170254	0.8580267585072203	0.9201854261623107	0.06625720476185472	0.0018952093368913704
10	Active_enhancer_2	255,195,77	0.009566929221362219	0.11746464932919487	0.48815799918878	0.0156215839803234	0.00396266078205013
11	Weak_enhancer	255,255,0	0.008883345798841707	0.5995429920684242	0.04602832848720551	0.012510800350087746	0.0035617328320210703
14	Bivalent/poised_TSS	205,92,92	0.014087813186686868	0.4799435998773853	0.06556080511243431	0.6040432786139605	0.7152785458913453
16	Repressed_polycomb	128,128,128	0.00107115930567237	0.0066841732105844655	7.162241283240412E-4	0.0011482234786936655	0.5652910901691157
17	Weak_repressed_polycomb	192,192,192	1.8021493852037358E-4	0.001804583149783144	2.6878966887533513E-4	0.0015797203492985763	0.03826852646339055
18	Quiescent/low_signal	255,255,255	1.2766415423343805E-4	4.6437296201301927E-4	1.0791600677127732E-4	2.3727432315312824E-4	8.758669558202825E-4
